ds,y
2/2/15,237.8
3/2/15,228.6
4/2/15,227.1
5/2/15,216.8
6/2/15,223.2
7/2/15,229
8/2/15,224
9/2/15,221.1
10/2/15,220.9
11/2/15,219.8
12/2/15,222.4
13/2/15,236.1
14/2/15,257.2
15/2/15,235.9
16/2/15,233.6
17/2/15,244
18/2/15,236.3
19/2/15,240.2
20/2/15,244.5
21/2/15,245.6
22/2/15,236.5
23/2/15,239.4
24/2/15,239.7
25/2/15,238
26/2/15,236.9
27/2/15,255
28/2/15,255.7
1/3/15,262.4
2/3/15,277.3
3/3/15,283.8
4/3/15,273.3
5/3/15,277.7
6/3/15,273.2
7/3/15,277
8/3/15,275.6
9/3/15,291
10/3/15,292.7
11/3/15,296.7
12/3/15,295.6
13/3/15,283.3
14/3/15,282.6
15/3/15,286.9
16/3/15,291.2
17/3/15,285.3
18/3/15,257.3
19/3/15,261.9
20/3/15,262.2
21/3/15,260.5
22/3/15,268.8
23/3/15,267.2
24/3/15,246
25/3/15,245.9
26/3/15,249.2
27/3/15,246.5
28/3/15,252.9
29/3/15,242.4
30/3/15,247.9
31/3/15,244.3
1/4/15,246.9
2/4/15,253.2
3/4/15,254.2
4/4/15,253.6
5/4/15,260.5
6/4/15,255.6
7/4/15,253.7
8/4/15,244.9
9/4/15,243.6
10/4/15,236.1
11/4/15,236.9
12/4/15,236.4
13/4/15,225
14/4/15,220.2
15/4/15,224
16/4/15,228.5
17/4/15,222.4
18/4/15,223.1
19/4/15,222.2
20/4/15,224.2
21/4/15,235.8
22/4/15,234.1
23/4/15,236
24/4/15,231.4
25/4/15,226.1
26/4/15,219.7
27/4/15,227.7
28/4/15,225.3
29/4/15,225.2
30/4/15,236.1
1/5/15,231.8
2/5/15,234.8
3/5/15,240.7
4/5/15,238.5
5/5/15,235.9
6/5/15,229.3
7/5/15,237.3
8/5/15,244.5
9/5/15,242.5
10/5/15,240.6
11/5/15,242.5
12/5/15,241.8
13/5/15,235.8
14/5/15,236.7
15/5/15,237.3
16/5/15,235.7
17/5/15,236.2
18/5/15,232.8
19/5/15,231.7
20/5/15,234.2
21/5/15,235.3
22/5/15,241
23/5/15,238.8
24/5/15,240.9
25/5/15,237.1
26/5/15,237.4
27/5/15,236.9
28/5/15,236.9
29/5/15,236.5
30/5/15,232.5
31/5/15,228.7
1/6/15,222
2/6/15,224.7
3/6/15,225.1
4/6/15,223.2
5/6/15,224.5
6/6/15,225.6
7/6/15,223.3
8/6/15,228.8
9/6/15,229.1
10/6/15,228.6
11/6/15,229.8
12/6/15,229.4
13/6/15,232.9
14/6/15,233.5
15/6/15,237
16/6/15,252.1
17/6/15,248.9
18/6/15,249.5
19/6/15,244.6
20/6/15,245.4
21/6/15,244.3
22/6/15,246.7
23/6/15,244.3
24/6/15,239.8
25/6/15,242.1
26/6/15,243.3
27/6/15,251.6
28/6/15,248.7
29/6/15,256.7
30/6/15,262.9
1/7/15,258.1
2/7/15,254.5
3/7/15,256
4/7/15,260.6
5/7/15,265.2
6/7/15,274.8
7/7/15,265.5
8/7/15,270.8
9/7/15,269.2
10/7/15,286.7
12/7/15,311.1
13/7/15,292.6
14/7/15,286.9
15/7/15,285.4
16/7/15,278.9
17/7/15,279.9
18/7/15,277.3
19/7/15,275
20/7/15,280.3
21/7/15,275.8
22/7/15,278
23/7/15,276.5
24/7/15,288.6
25/7/15,289.4
26/7/15,293
27/7/15,294.8
28/7/15,295.2
29/7/15,289.9
30/7/15,288.2
31/7/15,284.5
1/8/15,280.3
2/8/15,282.5
3/8/15,281.3
4/8/15,285.5
5/8/15,282.6
6/8/15,279.1
7/8/15,280.1
8/8/15,261.3
9/8/15,265.6
10/8/15,265.1
11/8/15,272
12/8/15,267.1
13/8/15,264.5
14/8/15,266.1
15/8/15,262.1
16/8/15,259.9
17/8/15,258.5
18/8/15,183
19/8/15,226.2
20/8/15,235.5
21/8/15,232.2
22/8/15,230.3
23/8/15,228.5
24/8/15,210.5
25/8/15,222.7
26/8/15,226.2
27/8/15,225.8
28/8/15,231.8
29/8/15,230.8
30/8/15,230
31/8/15,231.4
1/9/15,228.2
2/9/15,229.7
3/9/15,227.3
4/9/15,230.9
5/9/15,235.8
6/9/15,241
7/9/15,240.9
8/9/15,244.2
9/9/15,238.9
10/9/15,239.5
11/9/15,240.6
12/9/15,235.8
13/9/15,231
14/9/15,230.9
15/9/15,230.9
16/9/15,229
17/9/15,233.6
18/9/15,233.8
19/9/15,232.1
20/9/15,232.1
21/9/15,227.2
22/9/15,231.3
23/9/15,230.5
24/9/15,234.6
25/9/15,235.3
26/9/15,234.6
27/9/15,233.4
28/9/15,240.4
29/9/15,236.8
30/9/15,236.5
1/10/15,238.5
2/10/15,237.9
3/10/15,239.8
4/10/15,239.5
5/10/15,242
6/10/15,247.4
7/10/15,244.2
8/10/15,243
9/10/15,244.8
10/10/15,246
11/10/15,247.9
12/10/15,246.1
13/10/15,251.3
14/10/15,253.5
15/10/15,255.2
16/10/15,263.5
17/10/15,272.9
18/10/15,265
19/10/15,265
20/10/15,271
21/10/15,267.8
22/10/15,275.8
23/10/15,279.2
24/10/15,284.2
25/10/15,284.8
26/10/15,287.2
27/10/15,295.2
28/10/15,304.5
29/10/15,314.9
30/10/15,328.2
31/10/15,316
1/11/15,330.7
2/11/15,365
3/11/15,405.3
4/11/15,409.2
5/11/15,388
6/11/15,375.6
7/11/15,384.6
8/11/15,374
9/11/15,381
10/11/15,340.2
11/11/15,314
12/11/15,336.6
13/11/15,338.5
14/11/15,333.4
15/11/15,321.1
16/11/15,332.1
17/11/15,336.3
18/11/15,336
19/11/15,326.5
20/11/15,322.2
21/11/15,327.5
22/11/15,324.7
23/11/15,323.6
24/11/15,320.1
25/11/15,329.9
26/11/15,354
27/11/15,358.9
28/11/15,358.7
29/11/15,373.3
30/11/15,376.9
1/12/15,362.7
2/12/15,359.1
3/12/15,360.7
4/12/15,363.2
5/12/15,390
6/12/15,390.6
7/12/15,396.7
8/12/15,420.8
9/12/15,418.7
10/12/15,414.9
11/12/15,456.3
12/12/15,435.7
13/12/15,433
14/12/15,442.6
15/12/15,466.5
16/12/15,455
17/12/15,455.8
18/12/15,463.5
19/12/15,462.5
20/12/15,442.6
21/12/15,437.9
22/12/15,435.6
23/12/15,442.6
24/12/15,456.1
25/12/15,455.5
26/12/15,416.5
27/12/15,422.4
28/12/15,420.2
29/12/15,431.9
30/12/15,424.7
31/12/15,429
1/1/16,434
2/1/16,432.7
3/1/16,428.7
4/1/16,432.9
5/1/16,431.8
6/1/16,428
7/1/16,459
8/1/16,454
9/1/16,449.2
10/1/16,449.4
11/1/16,449.3
12/1/16,432
13/1/16,431.1
14/1/16,429.3
15/1/16,358.9
16/1/16,388.4
17/1/16,382.1
18/1/16,387
19/1/16,379
20/1/16,419.4
21/1/16,411
22/1/16,381
23/1/16,385.6
24/1/16,402.8
25/1/16,391
26/1/16,391.3
27/1/16,395
28/1/16,378.4
29/1/16,377.6
30/1/16,377
31/1/16,365.5
1/2/16,371.4
2/2/16,372.9
3/2/16,369
4/2/16,389.8
5/2/16,386.5
6/2/16,373.8
7/2/16,372
8/2/16,370.5
9/2/16,374
10/2/16,380.9
11/2/16,378
12/2/16,383
13/2/16,393
14/2/16,408.3
15/2/16,399.9
16/2/16,407.3
17/2/16,414.9
18/2/16,421.5
19/2/16,420
20/2/16,438.7
21/2/16,440.5
22/2/16,440.3
23/2/16,421.1
24/2/16,426.4
25/2/16,424.9
26/2/16,435.3
27/2/16,434.2
28/2/16,434.5
29/2/16,439.2
1/3/16,434.8
2/3/16,422.2
3/3/16,420.6
4/3/16,408.8
5/3/16,397.4
6/3/16,403.9
7/3/16,412.7
8/3/16,411.4
9/3/16,412.9
10/3/16,416.5
11/3/16,420.5
12/3/16,410
13/3/16,411.8
14/3/16,416
15/3/16,415.5
16/3/16,417.3
17/3/16,418.8
18/3/16,407.7
19/3/16,408.4
20/3/16,411.3
21/3/16,411.9
22/3/16,417.7
23/3/16,418.1
24/3/16,415.3
25/3/16,416
26/3/16,416.7
27/3/16,427.4
28/3/16,424.1
29/3/16,415.8
30/3/16,413.2
31/3/16,416
1/4/16,417.6
2/4/16,420.3
3/4/16,420.6
4/4/16,420.5
5/4/16,423.8
6/4/16,422.6
7/4/16,422.3
8/4/16,418.5
9/4/16,418.5
10/4/16,421.3
11/4/16,423.7
12/4/16,426.6
13/4/16,424.8
14/4/16,426
15/4/16,431.5
16/4/16,432
17/4/16,428.5
18/4/16,430
19/4/16,437.8
20/4/16,444
21/4/16,452
22/4/16,447.8
23/4/16,453.7
24/4/16,463
25/4/16,461.8
26/4/16,468.1
27/4/16,445.1
28/4/16,450.5
29/4/16,455.3
30/4/16,446.6
1/5/16,451.1
2/5/16,443.7
3/5/16,450.4
4/5/16,447.4
5/5/16,448.4
6/5/16,461.2
7/5/16,460.2
8/5/16,459.9
9/5/16,461.6
10/5/16,450.7
11/5/16,452.3
12/5/16,455
13/5/16,455.8
14/5/16,455.8
15/5/16,457.9
16/5/16,453
17/5/16,453.2
18/5/16,453.5
19/5/16,435
20/5/16,441.6
21/5/16,440.8
22/5/16,437.5
23/5/16,443.7
24/5/16,445
25/5/16,449.1
